Month,robberies
1,41
2,39
3,50
4,40
5,43
6,38
7,44
8,35
9,39
10,35
11,29
12,49
13,50
14,59
15,63
16,32
17,39
18,47
19,53
20,60
21,57
22,52
23,70
24,90
25,74
26,62
27,55
28,84
29,94
30,70
31,108
32,139
33,120
34,97
35,126
36,149
37,158
38,124
39,140
40,109
41,114
42,77
43,120
44,133
45,110
46,92
47,97
48,78
49,99
50,107
51,112
52,90
53,98
54,125
55,155
56,190
57,236
58,189
59,174
60,178
61,136
62,161
63,171
64,149
65,184
66,155
67,276
68,224
69,213
70,279
71,268
72,287
73,238
74,213
75,257
76,293
77,212
78,246
79,353
80,339
81,308
82,247
83,257
84,322
85,298
86,273
87,312
88,249
89,286
90,279
91,309
92,401
93,309
94,328
95,353
96,354
97,327
98,324
99,285
100,243
101,241
102,287
103,355
104,460
105,364
106,487
107,452
108,391
109,500
110,451
111,375
112,372
113,302
114,316
115,398
116,394
117,431
118,431
