day,day_of_week,poms_tot,poms_tot_w,poms_tot_g,poms_tot_h,poms_tot_m,inters_tot,inters_tot_p,inters_tot_m,inters_tot_s,inters_tot_o
20151117,Tuesday,10,3,5,2,0,7,4,2,1,0
20151118,Wednesday,10,5,4,1,0,5,2,3,0,0
20151119,Thursday,10,5,3,2,0,1,0,1,0,0
20151120,Friday,11,8,2,1,0,5,3,0,1,1
20151121,Saturday,6,0,6,0,0,2,0,0,1,1
20151122,Sunday,6,0,2,2,2,0,0,0,0,0
20151123,Monday,15,9,3,3,0,5,1,3,0,1
20151124,Tuesday,8,5,2,1,0,2,0,0,1,1
20151125,Wednesday,8,6,1,1,0,1,0,0,0,1
20151126,Thursday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20151127,Friday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20151128,Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20151129,Sunday,2,0,0,0,2,NA,NA,NA,NA,NA
20151130,Monday,15,9,3,3,0,4,0,0,1,3
20151201,Tuesday,12,10,1,1,0,5,3,0,0,2
20151202,Wednesday,13,9,3,1,0,3,2,0,0,1
20151203,Thursday,7,3,2,2,0,3,3,0,0,0
20151204,Friday,12,10,1,1,0,2,1,0,0,1
20151205,Saturday,3,1,0,2,0,0,0,0,0,0
20151206,Sunday,5,2,0,3,0,0,0,0,0,0
20151207,Monday,10,6,3,1,0,1,0,0,1,0
20151208,Tuesday,3,3,0,0,0,2,0,1,0,1
20151209,Wednesday,9,6,2,1,0,5,4,0,1,0
20151210,Thursday,16,10,3,3,0,8,6,2,0,0
20151211,Friday,9,7,2,0,0,4,3,0,0,1
20151212,Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20151213,Sunday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20151214,Monday,17,12,3,2,0,7,1,4,1,1
20151215,Tuesday,9,4,2,0,3,1,1,0,0,0
20151216,Wednesday,13,9,2,2,0,5,4,1,0,0
20151217,Thursday,4,2,1,1,0,6,4,2,0,0
20151218,Friday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20151219,Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20151220,Sunday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20151221,Monday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20151222,Tuesday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20151223,Wednesday,12,8,3,1,0,3,1,0,2,0
20151224,Thursday,3,0,2,0,1,NA,NA,NA,NA,NA
20151225,Friday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20151226,Saturday,1,0,0,0,1,NA,NA,NA,NA,NA
20151227,Sunday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20151228,Monday,11,0,9,2,0,2,0,0,1,1
20151229,Tuesday,1,0,1,0,0,NA,NA,NA,NA,NA
20151230,Wednesday,10,0,10,0,0,NA,NA,NA,NA,NA
20151231,Thursday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
